Year,Frequency of observation,Reporting type,SDG Series,Reference area,Sex,Unit of measure,Value
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",53.8
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",31.2
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",27.4
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",23.5
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",28.4
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",23.0
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",18.6
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,,,"Per 100,000 population",18.446484
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",13.1
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",7.4
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",5.7
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",5.6
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",6.4
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",6.8
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",4.0
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,,Female,"Per 100,000 population",4.918696
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",95.6
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",55.6
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",49.5
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",41.8
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",50.8
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",39.5
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",33.5
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,,Male,"Per 100,000 population",32.182344
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",27.4
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",27.4
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",22.1
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",14.0
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",15.9
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",12.2
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",6.9
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,,"Per 100,000 population",7.71772
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",1.9
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.4
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.4
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.8
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.4
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.8
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",0.8
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Female,"Per 100,000 population",1.918612
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",52.2
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",53.4
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",43.1
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",26.7
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",30.8
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",23.2
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",12.9
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,Batken,Male,"Per 100,000 population",13.301803
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",17.2
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",14.2
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",14.3
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",10.7
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",10.0
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",9.5
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",6.8
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,,"Per 100,000 population",4.565495
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.2
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.9
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.4
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.4
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.2
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.7
2018,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",1.3
2019,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.4923
2010,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",33.2
2013,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",27.3
2014,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",27.1
2015,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",19.8
2016,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",18.7
2017,Annual,National,Incidence of alcohol dependence per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",17.2
