Year,Статус наблюдения,Множитель,Характер данных,FREQ,REPORTING_TYPE,SERIES,Территория,UNIT_MEASURE,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.13
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.09
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.29
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.28
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.01
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.28
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.34
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.07
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.06
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.21
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.31
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",,Процент,0.28
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.27
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.21
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.34
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.32
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,1.08
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Баткенская область,Процент,0.45
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.2
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.22
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.61
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Джалал-Абадская область,Процент,0.0
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.05
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.34
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.58
