Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,SI_POV_DAY1,,PT,0.13
2008,A,N,SI_POV_DAY1,,PT,0.09
2009,A,N,SI_POV_DAY1,,PT,0.29
2010,A,N,SI_POV_DAY1,,PT,0.28
2011,A,N,SI_POV_DAY1,,PT,0.01
2012,A,N,SI_POV_DAY1,,PT,0.28
2013,A,N,SI_POV_DAY1,,PT,0.34
2014,A,N,SI_POV_DAY1,,PT,0.07
2015,A,N,SI_POV_DAY1,,PT,0.06
2016,A,N,SI_POV_DAY1,,PT,0.21
2017,A,N,SI_POV_DAY1,,PT,0.31
2018,A,N,SI_POV_DAY1,,PT,0.28
2007,A,N,SI_POV_DAY1,KG05,PT,0.0
2008,A,N,SI_POV_DAY1,KG05,PT,0.27
2009,A,N,SI_POV_DAY1,KG05,PT,0.0
2010,A,N,SI_POV_DAY1,KG05,PT,0.21
2011,A,N,SI_POV_DAY1,KG05,PT,0.0
2012,A,N,SI_POV_DAY1,KG05,PT,0.0
2013,A,N,SI_POV_DAY1,KG05,PT,0.0
2014,A,N,SI_POV_DAY1,KG05,PT,0.0
2015,A,N,SI_POV_DAY1,KG05,PT,0.34
2016,A,N,SI_POV_DAY1,KG05,PT,0.32
2017,A,N,SI_POV_DAY1,KG05,PT,1.08
2018,A,N,SI_POV_DAY1,KG05,PT,0.45
2007,A,N,SI_POV_DAY1,KG03,PT,0.2
2008,A,N,SI_POV_DAY1,KG03,PT,0.0
2009,A,N,SI_POV_DAY1,KG03,PT,0.0
2010,A,N,SI_POV_DAY1,KG03,PT,0.22
2011,A,N,SI_POV_DAY1,KG03,PT,0.0
2012,A,N,SI_POV_DAY1,KG03,PT,0.61
2013,A,N,SI_POV_DAY1,KG03,PT,0.0
2014,A,N,SI_POV_DAY1,KG03,PT,0.0
2015,A,N,SI_POV_DAY1,KG03,PT,0.0
2016,A,N,SI_POV_DAY1,KG03,PT,0.0
2017,A,N,SI_POV_DAY1,KG03,PT,0.0
2018,A,N,SI_POV_DAY1,KG03,PT,0.0
2007,A,N,SI_POV_DAY1,KG02,PT,0.05
2008,A,N,SI_POV_DAY1,KG02,PT,0.34
2009,A,N,SI_POV_DAY1,KG02,PT,0.58
2010,A,N,SI_POV_DAY1,KG02,PT,0.11
2011,A,N,SI_POV_DAY1,KG02,PT,0.0
2012,A,N,SI_POV_DAY1,KG02,PT,0.0
2013,A,N,SI_POV_DAY1,KG02,PT,0.0
2014,A,N,SI_POV_DAY1,KG02,PT,0.0
2015,A,N,SI_POV_DAY1,KG02,PT,0.0
2016,A,N,SI_POV_DAY1,KG02,PT,0.0
2017,A,N,SI_POV_DAY1,KG02,PT,0.0
2018,A,N,SI_POV_DAY1,KG02,PT,0.89
2007,A,N,SI_POV_DAY1,KG04,PT,0.13
2008,A,N,SI_POV_DAY1,KG04,PT,0.63
2009,A,N,SI_POV_DAY1,KG04,PT,0.03
2010,A,N,SI_POV_DAY1,KG04,PT,3.46
2011,A,N,SI_POV_DAY1,KG04,PT,0.31
2012,A,N,SI_POV_DAY1,KG04,PT,0.0
2013,A,N,SI_POV_DAY1,KG04,PT,0.84
2014,A,N,SI_POV_DAY1,KG04,PT,0.2
2015,A,N,SI_POV_DAY1,KG04,PT,0.74
2016,A,N,SI_POV_DAY1,KG04,PT,0.7
2017,A,N,SI_POV_DAY1,KG04,PT,0.66
2018,A,N,SI_POV_DAY1,KG04,PT,1.7
2007,A,N,SI_POV_DAY1,KG06,PT,0.33
2008,A,N,SI_POV_DAY1,KG06,PT,0.03
2009,A,N,SI_POV_DAY1,KG06,PT,0.0
2010,A,N,SI_POV_DAY1,KG06,PT,0.09
2011,A,N,SI_POV_DAY1,KG06,PT,0.0
2012,A,N,SI_POV_DAY1,KG06,PT,0.0
2013,A,N,SI_POV_DAY1,KG06,PT,0.0
2014,A,N,SI_POV_DAY1,KG06,PT,0.0
2015,A,N,SI_POV_DAY1,KG06,PT,0.0
2016,A,N,SI_POV_DAY1,KG06,PT,0.0
2017,A,N,SI_POV_DAY1,KG06,PT,0.0
2018,A,N,SI_POV_DAY1,KG06,PT,0.0
2007,A,N,SI_POV_DAY1,KG07,PT,0.0
2008,A,N,SI_POV_DAY1,KG07,PT,0.0
2009,A,N,SI_POV_DAY1,KG07,PT,0.0
2010,A,N,SI_POV_DAY1,KG07,PT,0.0
2011,A,N,SI_POV_DAY1,KG07,PT,0.0
2012,A,N,SI_POV_DAY1,KG07,PT,0.0
2013,A,N,SI_POV_DAY1,KG07,PT,0.0
2014,A,N,SI_POV_DAY1,KG07,PT,0.0
2015,A,N,SI_POV_DAY1,KG07,PT,0.0
2016,A,N,SI_POV_DAY1,KG07,PT,0.0
2017,A,N,SI_POV_DAY1,KG07,PT,0.0
2018,A,N,SI_POV_DAY1,KG07,PT,0.0
2007,A,N,SI_POV_DAY1,KG08,PT,0.0
2008,A,N,SI_POV_DAY1,KG08,PT,0.0
2009,A,N,SI_POV_DAY1,KG08,PT,1.35
2010,A,N,SI_POV_DAY1,KG08,PT,0.16
2011,A,N,SI_POV_DAY1,KG08,PT,0.0
2012,A,N,SI_POV_DAY1,KG08,PT,1.09
2013,A,N,SI_POV_DAY1,KG08,PT,0.36
2014,A,N,SI_POV_DAY1,KG08,PT,0.42
2015,A,N,SI_POV_DAY1,KG08,PT,0.0
2016,A,N,SI_POV_DAY1,KG08,PT,1.01
2017,A,N,SI_POV_DAY1,KG08,PT,1.27
2018,A,N,SI_POV_DAY1,KG08,PT,0.32
2007,A,N,SI_POV_DAY1,KG11,PT,0.0
2008,A,N,SI_POV_DAY1,KG11,PT,0.02
2009,A,N,SI_POV_DAY1,KG11,PT,0.27
2010,A,N,SI_POV_DAY1,KG11,PT,0.0
2011,A,N,SI_POV_DAY1,KG11,PT,0.0
2012,A,N,SI_POV_DAY1,KG11,PT,0.03
2013,A,N,SI_POV_DAY1,KG11,PT,1.55
2014,A,N,SI_POV_DAY1,KG11,PT,0.0
2015,A,N,SI_POV_DAY1,KG11,PT,0.0
2016,A,N,SI_POV_DAY1,KG11,PT,0.0
2017,A,N,SI_POV_DAY1,KG11,PT,0.0
2018,A,N,SI_POV_DAY1,KG11,PT,0.33
2012,A,N,SI_POV_DAY1,KG21,PT,0.0
2013,A,N,SI_POV_DAY1,KG21,PT,0.0
2014,A,N,SI_POV_DAY1,KG21,PT,0.0
2015,A,N,SI_POV_DAY1,KG21,PT,0.0
2016,A,N,SI_POV_DAY1,KG21,PT,0.0
